,eksik_sayı,eksik_yüzde
therapy_history,1014,33.800000000000004
social_support,753,25.1
education_level,420,14.000000000000002
id,0,0.0
name,0,0.0
country,0,0.0
city,0,0.0
gender,0,0.0
age,0,0.0
annual_income_usd,0,0.0
employment_status,0,0.0
marital_status,0,0.0
children_count,0,0.0
age_started_smoking,0,0.0
age_started_drinking,0,0.0
smokes_per_day,0,0.0
drinks_per_week,0,0.0
attempts_to_quit_drinking,0,0.0
attempts_to_quit_smoking,0,0.0
has_health_issues,0,0.0
mental_health_status,0,0.0
diet_quality,0,0.0
exercise_frequency,0,0.0
bmi,0,0.0
sleep_hours,0,0.0
